cid,w_start,w_end,active_days,n_rows,days_with_readings
787,2020-01-01 21:41:15.423,2024-04-29 17:02:20.118,1581,2458,1500
11588,2020-01-01 19:49:43.786,2024-04-30 11:20:11.738,1582,3164,1495
12390,2020-01-01 05:21:15.908,2024-04-30 11:54:44.750,1582,2518,1561
10037,2020-01-01 05:12:46.665,2024-04-29 13:59:17.721,1581,2109,1455
3224,2020-01-01 05:02:55.482,2024-04-30 11:35:39.066,1582,2983,1552
11571,2020-01-01 13:06:15.113,2024-04-29 17:59:23.992,1581,2710,1426
11984,2020-01-01 04:38:00.766,2024-04-30 10:31:36.151,1582,2950,1563
10180,2020-01-01 03:24:12.945,2024-04-29 17:58:17.863,1581,1893,1544
20348,2020-05-05 13:42:12.371,2024-04-30 06:13:00.197,1457,1376,1082
6237,2020-01-01 21:27:12.812,2024-04-30 12:35:41.530,1582,2425,1569
18851,2020-09-17 14:09:45.746,2024-04-30 07:49:39.357,1322,1741,1212
